emp_id,birth_date,first_name,last_name,gender,hire_date
46,1960-07-23,Lucien,Rosenbaum,M,1992-06-20
47,1952-06-29,Zvonko,Nyanchama,M,1989-03-31
48,1963-07-11,Florian,Syrotiuk,M,1985-02-24
49,1961-04-24,Basil,Tramer,F,1992-05-04
50,1958-05-21,Yinghua,Dredge,M,1990-12-25
51,1953-07-28,Hidefumi,Caine,M,1992-10-15
52,1961-02-26,Heping,Nitsch,M,1988-05-21
53,1954-09-13,Sanjiv,Zschoche,F,1986-02-04
54,1957-04-04,Mayumi,Schueller,M,1995-03-13
55,1956-06-06,Georgy,Dredge,M,1992-04-27
56,1961-09-01,Brendon,Bernini,F,1990-02-01
57,1954-05-30,Ebbe,Callaway,F,1992-01-15
58,1954-10-01,Berhard,McFarlin,M,1987-04-13
59,1953-09-19,Alejandro,McAlpine,F,1991-06-26
60,1961-10-15,Breannda,Billingsley,M,1987-11-02
61,1962-10-19,Tse,Herber,M,1985-09-17
62,1961-11-02,Anoosh,Peyn,M,1991-08-30
63,1952-08-06,Gino,Leonhardt,F,1989-04-08
64,1959-04-07,Udi,Jansch,M,1985-11-20
65,1963-04-14,Satosi,Awdeh,M,1988-05-18
66,1952-11-13,Kwee,Schusler,M,1986-02-26
67,1953-01-07,Claudi,Stavenow,M,1987-03-04
68,1962-11-26,Charlene,Brattka,M,1987-08-07
69,1960-09-06,Margareta,Bierman,F,1989-11-05
70,1955-08-20,Reuven,Garigliano,M,1985-10-14
71,1958-01-21,Hisao,Lipner,M,1987-10-01
72,1952-05-15,Hironoby,Sidou,F,1988-07-21
73,1954-02-23,Shir,McClurg,M,1991-12-01
74,1955-08-28,Mokhtar,Bernatsky,F,1990-08-13
75,1960-03-09,Gao,Dolinsky,F,1987-03-19
76,1952-06-13,Erez,Ritzmann,F,1985-07-09
77,1964-04-18,Mona,Azuma,M,1990-03-02
78,1959-12-25,Danel,Mondadori,F,1987-05-26
79,1961-10-05,Kshitij,Gils,F,1986-03-27
80,1957-12-03,Premal,Baek,M,1985-11-19
81,1960-12-17,Zhongwei,Rosen,M,1986-10-30
82,1963-09-09,Parviz,Lortz,M,1990-01-03
83,1959-07-23,Vishv,Zockler,M,1987-03-31
84,1960-05-25,Tuval,Kalloufi,M,1995-12-15
85,1962-11-07,Kenroku,Malabarba,M,1994-04-09
86,1962-11-19,Somnath,Foote,M,1990-02-16
87,1959-07-23,Xinglin,Eugenio,F,1986-09-08
88,1954-02-25,Jungsoon,Syrzycki,F,1988-09-02
89,1963-03-21,Sudharsan,Flasterstein,F,1986-08-12
90,1961-05-30,Kendra,Hofting,M,1986-03-14
91,1955-10-04,Amabile,Gomatam,M,1992-11-18
92,1964-10-18,Valdiodio,Niizuma,F,1989-09-22
93,1964-06-11,Sailaja,Desikan,M,1996-11-05
94,1957-05-25,Arumugam,Ossenbruggen,F,1987-04-18
95,1965-01-03,Hilari,Morton,M,1986-07-15
96,1954-09-16,Jayson,Mandell,M,1990-01-14
97,1952-02-27,Remzi,Waschkowski,M,1990-09-15
98,1961-09-23,Sreekrishna,Servieres,F,1985-05-13
99,1956-05-25,Valter,Sullins,F,1988-10-18
100,1953-04-21,Hironobu,Haraldson,F,1987-09-21
